codice,descrizione,nd,nd1
15,FABBRICAZIONE DI ARTICOLI IN PELLE E SIMILI,,
151,"PREPARAZIONE E CONCIA DEL CUOIO; FABBRICAZIONE DI ARTICOLI DA VIAGGIO, BORSE, PELLETTERIA E SELLERIA; PREPARAZIONE E TINTURA DI PELLICCE",,
1511,Preparazione e concia del cuoio; preparazione e tintura di pellicce,,
15110,Preparazione e concia del cuoio e pelle; preparazione e tintura di pellicce,,
151100,Preparazione e concia del cuoio e pelle; preparazione e tintura di pellicce,,
1512,"Fabbricazione di articoli da viaggio, borse e simili, pelletteria e selleria",,
15120,"Fabbricazione di articoli da viaggio, borse e simili, pelletteria e selleria",,
151201,Fabbricazione di frustini e scudisci per equitazione,,
151209,"Fabbricazione di altri articoli da viaggio, borse e simili, pelletteria e selleria",,
152,FABBRICAZIONE DI CALZATURE,,
1520,Fabbricazione di calzature,,
15201,Fabbricazione di calzature,,
152010,Fabbricazione di calzature,,
15202,Fabbricazione di parti in cuoio per calzature,,
152020,Fabbricazione di parti in cuoio per calzature,,
16,INDUSTRIA DEL LEGNO E DEI PRODOTTI IN LEGNO E SUGHERO (ESCLUSI I MOBILI); FABBRICAZIONE DI ARTICOLI IN PAGLIA E MATERIALI DA INTRECCIO,,
161,TAGLIO E PIALLATURA DEL LEGNO,,
1610,Taglio e piallatura del legno,,
16100,Taglio e piallatura del legno,,
161000,Taglio e piallatura del legno,,
162,"FABBRICAZIONE DI PRODOTTI IN LEGNO, SUGHERO, PAGLIA E MATERIALI DA INTRECCIO",,
1621,Fabbricazione di fogli da impiallacciatura e di pannelli a base di legno,,
16210,Fabbricazione di fogli da impiallacciatura e di pannelli a base di legno,,
162100,Fabbricazione di fogli da impiallacciatura e di pannelli a base di legno,,
1622,Fabbricazione di pavimenti in parquet assemblato,,
16220,Fabbricazione di pavimenti in parquet assemblato,,
162200,Fabbricazione di pavimenti in parquet assemblato,,
1623,Fabbricazione di altri prodotti di carpenteria in legno e falegnameria per l'edilizia,,
16231,Fabbricazione di porte e finestre in legno (escluse porte blindate),,
162310,Fabbricazione di porte e finestre in legno (escluse porte blindate),,
16232,Fabbricazione di altri elementi in legno e di falegnameria per l'edilizia,,
162320,Fabbricazione di altri elementi in legno e di falegnameria per l'edilizia,,
1624,Fabbricazione di imballaggi in legno,,
16240,Fabbricazione di imballaggi in legno,,
162400,Fabbricazione di imballaggi in legno,,
1629,"Fabbricazione di altri prodotti in legno, sughero, paglia e materiali da intreccio",,
16291,Fabbricazione di prodotti vari in legno (esclusi i mobili),,
162911,Fabbricazione di parti in legno per calzature,,
162912,"Fabbricazione di manici di ombrelli, bastoni e simili",,
162919,Fabbricazione di altri prodotti vari in legno (esclusi i mobili),,
16292,Fabbricazione dei prodotti della lavorazione del sughero,,
162920,Fabbricazione dei prodotti della lavorazione del sughero,,
16293,Fabbricazione di articoli in paglia e materiali da intreccio,,
162930,Fabbricazione di articoli in paglia e materiali da intreccio,,
16294,Laboratori di corniciai,,
162940,Laboratori di corniciai,,
17,FABBRICAZIONE DI CARTA E DI PRODOTTI DI CARTA,,
171,"FABBRICAZIONE DI PASTA-CARTA, CARTA E CARTONE",,
1711,Fabbricazione di pasta-carta,,
17110,Fabbricazione di pasta-carta,,
171100,Fabbricazione di pasta-carta,,
1712,Fabbricazione di carta e cartone,,
17120,Fabbricazione di carta e cartone,,
171200,Fabbricazione di carta e cartone,,
172,FABBRICAZIONE DI ARTICOLI DI CARTA E CARTONE,,
1721,Fabbricazione di carta e cartone ondulato e di imballaggi di carta e cartone,,
17210,Fabbricazione di carta e cartone ondulato e di imballaggi di carta e cartone (esclusi quelli in carta pressata),,
172100,Fabbricazione di carta e cartone ondulato e di imballaggi di carta e cartone (esclusi quelli in carta pressata),,
1722,Fabbricazione di prodotti igienico-sanitari e per uso domestico in carta e ovatta di cellulosa,,
17220,Fabbricazione di prodotti igienico-sanitari e per uso domestico in carta e ovatta di cellulosa,,
172200,Fabbricazione di prodotti igienico-sanitari e per uso domestico in carta e ovatta di cellulosa,,
